               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12177,             0.01603,            0.056101,           0.0010221,             0.36667,           0.0056001,           0.0011833,             0.10658,            0.013864,            0.054272,              0.0937,              0.0007,              0.0007
                   1,             0.10647,            0.018645,            0.055748,           0.0022073,                 0.6,           0.0061447,           0.0010706,            0.083994,            0.015031,            0.049026,            0.085758,           0.0007575,           0.0007575
